"","JKSE.Open","JKSE.High","JKSE.Low","JKSE.Close","JKSE.Volume","JKSE.Adjusted","Date"
"2017-01-03",5290.388184,5292.181152,5246.852051,5275.971191,33217000,5275.971191,"2017-01-03"
"2017-01-04",5270.016113,5312.956055,5249.233887,5301.183105,53111300,5301.183105,"2017-01-04"
"2017-01-05",5302.632813,5328.490234,5302.632813,5325.503906,77219400,5325.503906,"2017-01-05"
"2017-01-06",5321.745117,5350.245117,5318.384766,5347.021973,71615300,5347.021973,"2017-01-06"
"2017-01-09",5350.879883,5360.061035,5307.584961,5316.36377,97010200,5316.36377,"2017-01-09"
"2017-01-10",5330.015137,5331.132813,5292.062988,5309.923828,70792500,5309.923828,"2017-01-10"
"2017-01-11",5316.151855,5322.979004,5301.236816,5301.236816,84703100,5301.236816,"2017-01-11"
"2017-01-12",5301.036133,5322.419922,5292.75,5292.75,100764000,5292.75,"2017-01-12"
"2017-01-13",5299.050781,5310.419922,5272.98291,5272.98291,70293600,5272.98291,"2017-01-13"
"2017-01-16",5283.618164,5291.496094,5270.01123,5270.01123,73077600,5270.01123,"2017-01-16"
"2017-01-17",5266.922852,5287.124023,5265.602051,5266.937988,86901800,5266.937988,"2017-01-17"
"2017-01-18",5273.293945,5294.78418,5273.293945,5294.78418,113444600,5294.78418,"2017-01-18"
"2017-01-19",5302.210938,5309.952148,5288.577148,5298.948242,85392800,5298.948242,"2017-01-19"
"2017-01-20",5290.562988,5293.081055,5243.746094,5254.311035,153081800,5254.311035,"2017-01-20"
"2017-01-23",5250.634766,5265.442871,5228.286133,5250.967773,147556800,5250.967773,"2017-01-23"
"2017-01-24",5267.733887,5297.491211,5267.733887,5292.087891,147150800,5292.087891,"2017-01-24"
"2017-01-25",5302.874023,5310.668945,5287.125977,5293.782227,269423400,5293.782227,"2017-01-25"
"2017-01-26",5305.11377,5327.509766,5291.436035,5317.632813,190768100,5317.632813,"2017-01-26"
"2017-01-27",5304.963867,5321.680176,5297.254883,5312.839844,142739500,5312.839844,"2017-01-27"
"2017-01-30",5321.554199,5331.516113,5302.662109,5302.662109,193337900,5302.662109,"2017-01-30"
"2017-01-31",5316.668945,5321.35498,5294.103027,5294.103027,191451600,5294.103027,"2017-01-31"
"2017-02-01",5319.943848,5341.480957,5317.495117,5327.161133,256731400,5327.161133,"2017-02-01"
"2017-02-02",5327.02002,5353.712891,5326.986816,5353.712891,165664500,5353.712891,"2017-02-02"
"2017-02-03",5355.271973,5366.443848,5354.589844,5360.76709,13055400,5360.76709,"2017-02-03"
"2017-02-06",5369.521973,5395.995117,5369.441895,5395.995117,153355200,5395.995117,"2017-02-06"
"2017-02-07",5387.647949,5396.099121,5380.598145,5381.475098,171422900,5381.475098,"2017-02-07"
"2017-02-08",5380.109863,5382.073242,5349.462891,5361.087891,325033400,5361.087891,"2017-02-08"
"2017-02-09",5366.344238,5384.956055,5363.469238,5372.077148,258337100,5372.077148,"2017-02-09"
"2017-02-10",5378.916016,5400.171875,5371.668945,5371.668945,167200000,5371.668945,"2017-02-10"
"2017-02-13",5396.562988,5418.375977,5388.678223,5409.556152,182414000,5409.556152,"2017-02-13"
"2017-02-14",5402.558105,5409.35498,5370.494141,5380.669922,142907500,5380.669922,"2017-02-14"
"2017-02-15",NA,NA,NA,NA,NA,NA,"2017-02-15"
